orig_image,mask_image
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001295.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001295.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001513.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001513.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001559.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001559.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001696.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001696.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001772.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001772.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001906.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@001906.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002063.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002063.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002165.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002165.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002531.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002531.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002688.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002688.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002744.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002744.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002924.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002924.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002961.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@002961.bmp
images\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@003109.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_04$000339&03_@003109.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000030.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000030.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000291.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000291.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000342.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000342.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000564.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000564.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000763.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000763.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000874.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@000874.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001318.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001318.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001508.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001508.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001540.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001540.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001675.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001675.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001901.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@001901.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@003216.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@003216.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@003544.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@003544.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@003739.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@003739.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@003928.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@003928.bmp
images\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@004095.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_05$000185&03_@004095.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000462.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000462.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000490.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000490.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000564.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000564.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000666.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000666.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000727.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000727.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000731.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000731.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000865.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@000865.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001104.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001104.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001115.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001115.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001129.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001129.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001286.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001286.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001295.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001295.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001411.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001411.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001466.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001466.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001716.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001716.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001860.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001860.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001906.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001906.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001957.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001957.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001985.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@001985.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002068.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002068.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002114.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002114.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002188.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002188.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002327.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002327.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002933.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@002933.bmp
images\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@003248.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_06$000180&03_@003248.bmp
images\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@000030.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@000030.bmp
images\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@000296.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@000296.bmp
images\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@000712.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@000712.bmp
images\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@001022.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@001022.bmp
images\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@001059.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@001059.bmp
images\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@001142.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@001142.bmp
images\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@001281.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@001281.bmp
images\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@002151.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@002151.bmp
images\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@002330.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_07$000373&03_@002330.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000030.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000030.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000148.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000148.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000310.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000310.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000411.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000411.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000481.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000481.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000559.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000559.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000620.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000620.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000721.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@000721.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@001328.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@001328.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@001564.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@001564.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@001800.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@001800.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@002258.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@002258.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@002392.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@002392.bmp
images\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@003442.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_09$000249&03_@003442.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000509.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000509.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000578.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000578.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000684.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000684.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000944.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000944.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000985.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@000985.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@001624.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@001624.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@002054.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@002054.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@002299.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@002299.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@002355.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@002355.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@002642.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@002642.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@003063.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@003063.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@003678.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@003678.bmp
images\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@003956.bmp,masks\revert_vertical_revert_vertical_OFT_TBI_10$000294&03_@003956.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_01$000152&03_@000374.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_01$000152&03_@000374.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_01$000152&03_@001147.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_01$000152&03_@001147.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_02$000146&03_@002100.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_02$000146&03_@002100.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_02$000146&03_@002415.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_02$000146&03_@002415.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_03$000141&03_@000994.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_03$000141&03_@000994.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_03$000141&03_@001758.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_03$000141&03_@001758.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_03$000141&03_@001911.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_03$000141&03_@001911.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_03$000141&03_@002447.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_03$000141&03_@002447.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@000569.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@000569.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@001274.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@001274.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@001827.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@001827.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@002017.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@002017.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@002156.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@002156.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@002952.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_04$000176&03_@002952.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_05$000124&03_@000740.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_05$000124&03_@000740.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_05$000124&03_@001943.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_05$000124&03_@001943.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_05$000124&03_@003146.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_05$000124&03_@003146.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@000365.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@000365.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@000481.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@000481.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@001018.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@001018.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@001661.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@001661.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@002276.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@002276.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@002461.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@002461.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@003850.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_06$000126&03_@003850.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@000031.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@000031.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@000185.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@000185.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@000333.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@000333.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@000638.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@000638.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@001476.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@001476.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@001684.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@001684.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@001800.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@001800.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@002017.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@002017.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@002179.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@002179.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@002313.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@002313.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@002836.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@002836.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@003234.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@003234.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@003868.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_control_08$000141&03_@003868.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000030.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000030.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000058.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000058.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000106.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000106.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000254.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000254.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000257.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000257.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001226.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001226.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001267.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001267.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001772.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001772.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001883.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001883.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@000185.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@000185.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@000370.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@000370.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001087.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001087.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001158.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001158.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001323.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001323.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001473.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001473.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001504.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001504.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001554.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001554.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001945.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@001945.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@002135.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@002135.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@002627.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@002627.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@002772.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@002772.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@003374.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@003374.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@003464.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@003464.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@003584.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@003584.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@004015.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat01_intact@004015.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000049.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000049.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000177.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000177.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000235.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000235.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000256.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000256.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000261.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000261.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000145.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000145.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000320.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000320.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000365.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000365.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000506.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000506.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000867.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000867.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000932.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@000932.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@001072.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@001072.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@001413.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@001413.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@001900.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@001900.bmp
images\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@001960.bmp,masks\revert_vertical_revert_vertical_revert_vertical_OFT_rat02_intact@001960.bmp
